task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,post_execution_hard_violation_rate,hard_violation_event_count,executed_event_count,execution_observation_available_event_count,execution_observation_missing_event_count,durably_completed_event_count
r8c-0000-4f3a9cb5e670fbca,0,E1_STATIC,LIRCMOP1,F22_MG_STATIC,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0001-8c303b91052c0df0,1,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0002-f9518517cb52ca55,2,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0003-1f0b9baef503709c,3,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0004-cc5c39bef10a9bb7,4,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0005-b5faf1bc6a50ca91,5,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0006-d34659944459900c,6,E1_STATIC,LIRCMOP1,F22_MG_STATIC,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0007-e02fa6798a5f7e75,7,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0008-9c26d484e6a203f7,8,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0009-585bf8d691d34994,9,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0010-c42ab0e326df3c1b,10,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0011-e7c8d2b84d1c5fd7,11,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,1,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0012-58cfb5d1ee22c305,12,E1_STATIC,LIRCMOP1,F22_MG_STATIC,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0013-2cd582277ac9f573,13,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0014-b0dddd87ada33865,14,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0015-f35d6a982f114039,15,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0016-24ab5a8ed45ac8f8,16,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0017-8e0fef3cd3cb25a1,17,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,2,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
