task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,anytime_nhv_auc,final_nhv,transfer_early_auc,timeout_carried_forward_event_count
r8c-0000-4f3a9cb5e670fbca,0,E1_STATIC,LIRCMOP1,F22_MG_STATIC,0,COMPLETE,INCLUDED,0.20908227996870613,0.22742357761948032,,0
r8c-0001-8c303b91052c0df0,1,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,0,COMPLETE,INCLUDED,0.1934142559503921,0.24406378308945192,,0
r8c-0002-f9518517cb52ca55,2,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.22128548790398786,0.2295755798589037,,0
r8c-0003-1f0b9baef503709c,3,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.20572727062255602,0.2257797597126493,,0
r8c-0004-cc5c39bef10a9bb7,4,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,INCLUDED,0.18972304272492915,0.2353213320550107,,0
r8c-0005-b5faf1bc6a50ca91,5,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,0,COMPLETE,INCLUDED,0.20270292647988944,0.212568344865252,,0
r8c-0006-d34659944459900c,6,E1_STATIC,LIRCMOP1,F22_MG_STATIC,1,COMPLETE,INCLUDED,0.24792692444755512,0.2559325032217826,,0
r8c-0007-e02fa6798a5f7e75,7,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,1,COMPLETE,INCLUDED,0.18560983909232218,0.2425180285839313,,0
r8c-0008-9c26d484e6a203f7,8,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.19385588986227262,0.2142290656804636,,0
r8c-0009-585bf8d691d34994,9,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.21406747897601566,0.234836268866652,,0
r8c-0010-c42ab0e326df3c1b,10,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,1,COMPLETE,INCLUDED,0.19482616674621855,0.2555705168625631,,0
r8c-0011-e7c8d2b84d1c5fd7,11,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,1,COMPLETE,INCLUDED,0.21864316332415873,0.2272233517936361,,0
r8c-0012-58cfb5d1ee22c305,12,E1_STATIC,LIRCMOP1,F22_MG_STATIC,2,COMPLETE,INCLUDED,0.21618964614334585,0.2249657813490723,,0
r8c-0013-2cd582277ac9f573,13,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,2,COMPLETE,INCLUDED,0.2144904470823606,0.276184734519653,,0
r8c-0014-b0dddd87ada33865,14,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.2189312165986865,0.2271611794965735,,0
r8c-0015-f35d6a982f114039,15,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.20296266129829726,0.2175374458524311,,0
r8c-0016-24ab5a8ed45ac8f8,16,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,2,COMPLETE,INCLUDED,0.22244429880917743,0.2789167187352968,,0
r8c-0017-8e0fef3cd3cb25a1,17,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,2,COMPLETE,INCLUDED,0.1867184290883945,0.19162105186607653,,0
r8c-0018-242018159896a22b,18,E1_STATIC,LIRCMOP1,F22_MG_STATIC,3,COMPLETE,INCLUDED,0.19902208182581468,0.2093318874604524,,0
r8c-0019-41ace4b6777f4c76,19,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,3,COMPLETE,INCLUDED,0.2437390736875103,0.2862945613511704,,0
r8c-0020-e2632fb7d82d8afa,20,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.19566273862639358,0.20462676468373103,,0
r8c-0021-51d55a35165bb464,21,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.2024559967657153,0.22368948639041028,,0
r8c-0022-d6a8249e4bcb9eec,22,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,3,COMPLETE,INCLUDED,0.23614920094938624,0.3059172653666404,,0
r8c-0023-cd4e231ce768d689,23,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,3,COMPLETE,INCLUDED,0.19753878130657593,0.20647223544362817,,0
r8c-0024-14d2ad928ad974c1,24,E1_STATIC,LIRCMOP1,F22_MG_STATIC,4,COMPLETE,INCLUDED,0.20339336952016152,0.2125451118693428,,0
r8c-0025-f579752dd1e961b4,25,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,4,COMPLETE,INCLUDED,0.2342531470726232,0.24791848564840482,,0
r8c-0026-a254b85bd51614b7,26,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,4,COMPLETE,INCLUDED,0.1791286895240089,0.1980823483020557,,0
r8c-0027-bed8dbb39bfd9b8b,27,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,4,COMPLETE,INCLUDED,0.19730799177412317,0.22015324777502313,,0
