hypothesis_index,hypothesis_id,family_id,analysis_workload_id,endpoint_id,proposed_method_id,comparator_method_id,effect_size_type,expected_top_level_clusters,available_top_level_clusters,missing_top_level_clusters,expected_nested_pairs,available_nested_pairs,point_estimate,ci_lower_95,ci_upper_95,fas_worst_case_bound,fas_best_case_bound,practical_threshold,practical_effect_class,sign_flip_extreme_count,sign_flip_replicates,p_unadjusted,p_holm,holm_reject_0_05
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_STATIC,ANYTIME_NHV_AUC,F22_MG_STATIC,MATCHED_FIXED_DE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,14,14,0,140,140,0.012088777210743321,-0.0078392069398613637,0.033006609587312573,0.012088777210743321,0.012088777210743321,0.02,SMALL_OR_NULL,21958,100000,0.21958780412195877,0.8783512164878351,false
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_STATIC,ANYTIME_NHV_AUC,F22_MG_STATIC,MATCHED_JDE_STYLE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,14,14,0,140,140,0.010984069968956464,-0.012364249619603052,0.033675919532435393,0.010984069968956464,0.010984069968956464,0.02,SMALL_OR_NULL,27440,100000,0.27440725592744075,0.8783512164878351,false
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_STATIC,ANYTIME_NHV_AUC,F22_MG_STATIC,MATCHED_SHADE_STYLE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,14,14,0,140,140,0.0024537440849317338,-0.013177740987034231,0.018091677190838245,0.0024537440849317338,0.0024537440849317338,0.02,SMALL_OR_NULL,59699,100000,0.59699403005969942,1,false
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_STATIC,ANYTIME_NHV_AUC,F22_MG_STATIC,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,PAIRED_MACRO_MEAN_DIFFERENCE,14,14,0,140,140,0.013785555360517817,-0.0021585446378478228,0.032859449196258661,0.013785555360517817,0.013785555360517817,0.02,SMALL_OR_NULL,7726,100000,0.077269227307726923,0.38634613653863459,false
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_STATIC,ANYTIME_NHV_AUC,F22_MG_STATIC,JMETALPY_1_7_NSGAII_STATIC_CMOEA,PAIRED_MACRO_MEAN_DIFFERENCE,14,14,0,140,140,0.024619179657830816,0.00021183301563687014,0.051281800739130322,0.024619179657830816,0.024619179657830816,0.02,POSITIVE,3861,100000,0.03861961380386196,0.23171768282317176,false
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_DYNAMIC,ANYTIME_NHV_AUC,DT-RAMDE_TS2_FULL,MATCHED_FIXED_DE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,15,14,1,150,140,0.21541482444618046,0.16274669100166445,0.26430830046973181,0.13438716948310175,0.26772050281643511,0.02,POSITIVE,11,100000,0.00011999880001199988,0.00095999040009599906,true
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_DYNAMIC,ANYTIME_NHV_AUC,DT-RAMDE_TS2_FULL,MATCHED_JDE_STYLE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,15,14,1,150,140,0.17930128568406631,0.14006373038820916,0.21618747902545499,0.10068119997179521,0.23401453330512856,0.02,POSITIVE,0,100000,9.9999000009999908e-06,0.00014999850001499987,true
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_DYNAMIC,ANYTIME_NHV_AUC,DT-RAMDE_TS2_FULL,MATCHED_SHADE_STYLE_PARETO,PAIRED_MACRO_MEAN_DIFFERENCE,15,14,1,150,140,0.19348745939252768,0.15225336480812843,0.23165590336106054,0.11392162876635915,0.2472549620996925,0.02,POSITIVE,9,100000,9.9999000009999897e-05,0.00089999100008999913,true
9,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_DYNAMIC,ANYTIME_NHV_AUC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,PAIRED_MACRO_MEAN_DIFFERENCE,15,14,1,150,140,0.21577843349255471,0.16452375100640521,0.26465651374714316,0.13472653792638439,0.26805987125971775,0.02,POSITIVE,19,100000,0.00019999800001999979,0.0013999860001399985,true
10,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,E1_DYNAMIC,ANYTIME_NHV_AUC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,PAIRED_MACRO_MEAN_DIFFERENCE,15,14,1,150,140,0.0042426257529801226,-0.014516335431036967,0.02083866117270328,-0.06270688263055188,0.070626450702781438,0.02,SMALL_OR_NULL,65464,100000,0.65464345356546438,1,false
