hypothesis_index,hypothesis_id,family_id,cluster_id,expected_nested_pairs,valid_nested_pairs,cluster_effect_available,cluster_effect,cluster_worst_case_bound,cluster_best_case_bound
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP1,10,10,true,0.012904707626203927,0.012904707626203927,0.012904707626203927
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP10,10,10,true,-0.048463774154795712,-0.048463774154795712,-0.048463774154795712
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP11,10,10,true,-0.038143740158827585,-0.038143740158827585,-0.038143740158827585
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP12,10,10,true,0.018945120658472037,0.018945120658472037,0.018945120658472037
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP13,10,10,true,7.3180264425099412e-05,7.3180264425099412e-05,7.3180264425099412e-05
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP14,10,10,true,0.00027460671378376283,0.00027460671378376283,0.00027460671378376283
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP2,10,10,true,0.014412838993911808,0.014412838993911808,0.014412838993911808
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP3,10,10,true,0.038437424861851553,0.038437424861851553,0.038437424861851553
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.071648333377074547,0.071648333377074547,0.071648333377074547
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,0.078888775994660459,0.078888775994660459,0.078888775994660459
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP8,10,10,true,0.0078385013363602811,0.0078385013363602811,0.0078385013363602811
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP9,10,10,true,0.010761949849118711,0.010761949849118711,0.010761949849118711
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP1,10,10,true,0.030885826402513177,0.030885826402513177,0.030885826402513177
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP10,10,10,true,0.055641454564530665,0.055641454564530665,0.055641454564530665
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP11,10,10,true,0.083061356538904257,0.083061356538904257,0.083061356538904257
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP12,10,10,true,0.0019472703675637831,0.0019472703675637831,0.0019472703675637831
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP13,10,10,true,-0.0040425194932913007,-0.0040425194932913007,-0.0040425194932913007
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP14,10,10,true,-0.0049544624909724074,-0.0049544624909724074,-0.0049544624909724074
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP2,10,10,true,0.033572325376818604,0.033572325376818604,0.033572325376818604
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP3,10,10,true,0.013880919187647603,0.013880919187647603,0.013880919187647603
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.043771901846630712,0.043771901846630712,0.043771901846630712
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,-0.054925091681542582,-0.054925091681542582,-0.054925091681542582
