workload_id,method_id,task_count,event_count,accepted_event_count,nonaccepted_event_count,failure_rate,reject_safety_filter_count,reject_safety_filter_rate,reject_budget_no_feasible_count,reject_budget_no_feasible_rate,reject_numerical_count,reject_numerical_rate,other_terminal_count,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,wall_seconds_median,cpu_seconds_median,peak_rss_bytes_median,output_bytes_median,executed_event_count,execution_observation_available_count,execution_observation_missing_count,execution_observation_availability_rate,hard_violation_event_count,hard_violation_observed_rate,hard_violation_fas_lower,hard_violation_fas_upper,analysis_status
E1_DYNAMIC,DT-RAMDE_TS2_FULL,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42978499,2021501,45000000,42978499,65.614191458998903,63.6569124245,69632000,2294181,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_DYNAMIC,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,150,9000,9000,0,0,0,0,0,0,0,0,0,29217,45000000,45000000,0,45000000,45000000,72.689304079998692,70.17280227149999,92653568,2294912.5,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_DYNAMIC,JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,150,9000,9000,0,0,0,0,0,0,0,0,0,9526,45000000,45000000,0,45000000,45000000,73.23581227700015,70.999266501500017,92712960,2295060,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_DYNAMIC,MATCHED_FIXED_DE_PARETO,150,9000,8819,181,0.020111111111111111,0,0,93,0.010333333333333333,88,0.0097777777777777776,0,2023031,45000000,45000000,0,45000000,45000000,30.783499527999084,28.890839616999997,67856384,2294585,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_DYNAMIC,MATCHED_JDE_STYLE_PARETO,150,9000,8819,181,0.020111111111111111,0,0,93,0.010333333333333333,88,0.0097777777777777776,0,2023031,45000000,45000000,0,45000000,45000000,31.753249825998864,29.309673635999999,67858432,2294584,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_DYNAMIC,MATCHED_SHADE_STYLE_PARETO,150,9000,8819,181,0.020111111111111111,0,0,93,0.010333333333333333,88,0.0097777777777777776,0,2023031,45000000,45000000,0,45000000,45000000,34.860823189501389,32.828783174500003,67866624,2294591,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,DT-RAMDE_TS2_FULL,160,3200,2554,646,0.201875,497,0.15531249999999999,149,0.0465625,0,0,0,0,16000000,16000000,0,96000000,96000000,58.227855709998039,55.785976539499998,76591104,1103237.5,3200,2395,805,0.74843749999999998,102,0.042588726513569937,0.031875000000000001,0.28343750000000001,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,160,3200,3130,70,0.021874999999999999,5,0.0015625000000000001,65,0.020312500000000001,0,0,0,0,16000000,16000000,0,96000000,96000000,72.586334726500354,70.179107438000017,96880640,1104203.5,3200,2940,260,0.91874999999999996,96,0.032653061224489799,0.029999999999999999,0.11125,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,160,3200,3040,160,0.050000000000000003,69,0.021562499999999998,91,0.028437500000000001,0,0,0,0,16000000,16000000,0,96000000,96000000,75.638425236500552,73.131777845499997,100345856,1104338.5,3200,2850,350,0.890625,191,0.067017543859649129,0.059687499999999998,0.1690625,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,MATCHED_FIXED_DE_PARETO,160,3200,3130,70,0.021874999999999999,5,0.0015625000000000001,65,0.020312500000000001,0,0,0,0,16000000,16000000,0,96000000,96000000,40.869583231498837,38.507682763999995,72757248,1103869,3200,2940,260,0.91874999999999996,67,0.022789115646258504,0.020937500000000001,0.1021875,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,MATCHED_JDE_STYLE_PARETO,160,3200,3100,100,0.03125,23,0.0071875000000000003,77,0.024062500000000001,0,0,0,0,16000000,16000000,0,96000000,96000000,41.961973684499753,40.049885816,74842112,1103879,3200,2910,290,0.90937500000000004,124,0.042611683848797252,0.03875,0.12937499999999999,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_ROLLING,MATCHED_SHADE_STYLE_PARETO,160,3200,3130,70,0.021874999999999999,5,0.0015625000000000001,65,0.020312500000000001,0,0,0,0,16000000,16000000,0,96000000,96000000,41.8973798324987,39.50918077,73105408,1103875.5,3200,2940,260,0.91874999999999996,88,0.029931972789115645,0.0275,0.10875,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_STATIC,F22_MG_STATIC,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,12.431855686500057,10.690976333,98770944,42175.5,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_STATIC,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,15.503965999499997,13.505354338,109297664,42900,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_STATIC,JMETALPY_1_7_NSGAII_STATIC_CMOEA,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,15.513377331501033,13.6166534995,109268992,42982,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
