comparison_index,comparison_id,analysis_workload_id,proposed_method_id,comparator_method_id,expected_top_level_clusters,available_top_level_clusters,paired_task_count,proposed_failure_rate_macro,comparator_failure_rate_macro,effect_comparator_minus_proposed,practical_margin,practical_effect_class,reject_safety_filter_effect,reject_budget_no_feasible_effect,reject_numerical_effect,other_nonaccepted_effect,confidence_interval,p_value,multiplicity,analysis_status
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_FIXED_DE_PARETO,14,14,140,0,0,0,0.02,SMALL_OR_NULL,0,0,0,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_JDE_STYLE_PARETO,14,14,140,0,0,0,0.02,SMALL_OR_NULL,0,0,0,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_SHADE_STYLE_PARETO,14,14,140,0,0,0,0.02,SMALL_OR_NULL,0,0,0,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,E1_STATIC,F22_MG_STATIC,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,14,14,140,0,0,0,0.02,SMALL_OR_NULL,0,0,0,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA,E1_STATIC,F22_MG_STATIC,JMETALPY_1_7_NSGAII_STATIC_CMOEA,14,14,140,0,0,0,0.02,SMALL_OR_NULL,0,0,0,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_FIXED_DE_PARETO,15,15,150,0.045000000000000005,0.020111111111111111,-0.024888888888888894,0.02,NEGATIVE_FAVORS_COMPARATOR,0,0.010333333333333332,-0.035222222222222224,-3.7007434154171887e-19,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_JDE_STYLE_PARETO,15,15,150,0.045000000000000005,0.020111111111111111,-0.024888888888888894,0.02,NEGATIVE_FAVORS_COMPARATOR,0,0.010333333333333332,-0.035222222222222224,-3.7007434154171887e-19,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_SHADE_STYLE_PARETO,15,15,150,0.045000000000000005,0.020111111111111111,-0.024888888888888894,0.02,NEGATIVE_FAVORS_COMPARATOR,0,0.010333333333333332,-0.035222222222222224,-3.7007434154171887e-19,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
9,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,E1_DYNAMIC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,15,15,150,0.045000000000000005,0,-0.045000000000000005,0.02,NEGATIVE_FAVORS_COMPARATOR,0,0,-0.045000000000000005,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
10,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,E1_DYNAMIC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,15,15,150,0.045000000000000005,0,-0.045000000000000005,0.02,NEGATIVE_FAVORS_COMPARATOR,0,0,-0.045000000000000005,0,NOT_GENERATED_PRE_R10,NOT_GENERATED_PRE_R10,NOT_APPLICABLE_SUPPORTING_DESCRIPTIVE,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
