comparison_index,comparison_id,analysis_workload_id,proposed_method_id,comparator_method_id,paired_task_count,proposed_executed_event_count,comparator_executed_event_count,proposed_observation_availability_rate,comparator_observation_availability_rate,proposed_observed_hard_rate,comparator_observed_hard_rate,complete_task_pair_count,complete_cluster_count,complete_pair_effect_comparator_minus_proposed,fas_effect_lower_bound,fas_effect_upper_bound,practical_margin,complete_method_comparison_allowed,analysis_interpretation,analysis_status
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_FIXED_DE_PARETO,140,0,0,,,,,0,0,,,,0.01,false,NOT_APPLICABLE_NO_EXECUTED_EVENTS,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_JDE_STYLE_PARETO,140,0,0,,,,,0,0,,,,0.01,false,NOT_APPLICABLE_NO_EXECUTED_EVENTS,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO,E1_STATIC,F22_MG_STATIC,MATCHED_SHADE_STYLE_PARETO,140,0,0,,,,,0,0,,,,0.01,false,NOT_APPLICABLE_NO_EXECUTED_EVENTS,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,E1_STATIC,F22_MG_STATIC,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,140,0,0,,,,,0,0,,,,0.01,false,NOT_APPLICABLE_NO_EXECUTED_EVENTS,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA,E1_STATIC,F22_MG_STATIC,JMETALPY_1_7_NSGAII_STATIC_CMOEA,140,0,0,,,,,0,0,,,,0.01,false,NOT_APPLICABLE_NO_EXECUTED_EVENTS,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_FIXED_DE_PARETO,150,9000,9000,0,0,,,0,0,,-1,1,0.01,false,METHOD_RELATED_MISSINGNESS__COMPLETE_COMPARISON_NOT_ALLOWED,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_JDE_STYLE_PARETO,150,9000,9000,0,0,,,0,0,,-1,1,0.01,false,METHOD_RELATED_MISSINGNESS__COMPLETE_COMPARISON_NOT_ALLOWED,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO,E1_DYNAMIC,DT-RAMDE_TS2_FULL,MATCHED_SHADE_STYLE_PARETO,150,9000,9000,0,0,,,0,0,,-1,1,0.01,false,METHOD_RELATED_MISSINGNESS__COMPLETE_COMPARISON_NOT_ALLOWED,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
9,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,E1_DYNAMIC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,150,9000,9000,0,0,,,0,0,,-1,1,0.01,false,METHOD_RELATED_MISSINGNESS__COMPLETE_COMPARISON_NOT_ALLOWED,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
10,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,E1_DYNAMIC,DT-RAMDE_TS2_FULL,JMETALPY_1_7_NSGAII_DYNAMIC_RESTART_BRIDGE,150,9000,9000,0,0,,,0,0,,-1,1,0.01,false,METHOD_RELATED_MISSINGNESS__COMPLETE_COMPARISON_NOT_ALLOWED,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
